architecture,seed,metric,contrast
feedforward,0,gain,0.010909317374658167
feedforward,0,broadcast,0.027203589896547642
feedforward,0,persistence,-0.044066154745175945
feedforward,0,concentration,-0.004255783254784595
feedforward,1,gain,0.02109187441735716
feedforward,1,broadcast,0.03728240186982687
feedforward,1,persistence,-0.01338246631138773
feedforward,1,concentration,0.003969269005404619
feedforward,3,gain,0.013574541189826261
feedforward,3,broadcast,0.025580320645139945
feedforward,3,persistence,-0.02046532496733433
feedforward,3,concentration,-0.0020163632172621737
feedforward,4,gain,0.01603686585944153
feedforward,4,broadcast,0.02453229608476165
feedforward,4,persistence,-0.05197933483283124
feedforward,4,concentration,0.0094814610942075
feedforward,6,gain,0.012283162263529435
feedforward,6,broadcast,0.03369915809895366
feedforward,6,persistence,-0.019884028071648574
feedforward,6,concentration,0.003342271785994
feedforward,7,gain,0.021363322637548032
feedforward,7,broadcast,0.04832050704245583
feedforward,7,persistence,-0.0443736505837522
feedforward,7,concentration,0.0030890099780699343
feedforward,8,gain,0.012500605719704239
feedforward,8,broadcast,0.03474857182721382
feedforward,8,persistence,-0.012579538065256912
feedforward,8,concentration,0.00023680545503212969
feedforward,10,gain,0.014746995856494305
feedforward,10,broadcast,0.06414996605446202
feedforward,10,persistence,-0.025303084080413374
feedforward,10,concentration,-0.012996978909686097
feedforward,12,gain,0.012287053619428279
feedforward,12,broadcast,0.03601905851807137
feedforward,12,persistence,-0.022415632229272564
feedforward,12,concentration,-0.006921716154855373
feedforward,13,gain,0.02155958809209646
feedforward,13,broadcast,0.03691628293760508
feedforward,13,persistence,-0.04228702282412189
feedforward,13,concentration,0.004296576532359764
feedforward,14,gain,0.019124403833399195
feedforward,14,broadcast,0.025832183838433997
feedforward,14,persistence,-0.08174831683111794
feedforward,14,concentration,0.008045262872248382
feedforward,15,gain,0.015602405347171833
feedforward,15,broadcast,0.05175803851286387
feedforward,15,persistence,-0.0363986204965725
feedforward,15,concentration,-0.006232961435813311
feedforward,17,gain,0.015016626145606837
feedforward,17,broadcast,0.02838646384342125
feedforward,17,persistence,-0.1120947804928123
feedforward,17,concentration,9.8015114398331e-05
feedforward,18,gain,0.03976282421870225
feedforward,18,broadcast,0.011342708032794496
feedforward,18,persistence,-0.04624947840163052
feedforward,18,concentration,0.027142531617969534
feedforward,19,gain,0.013480476399728714
feedforward,19,broadcast,0.02300623035567097
feedforward,19,persistence,-0.00854779914440229
feedforward,19,concentration,0.004169082610801844
private_modules,0,gain,0.00768469371857361
private_modules,0,broadcast,0.045186006549679344
private_modules,0,persistence,-0.045299039886278036
private_modules,0,concentration,-0.007609411438611269
private_modules,1,gain,0.016430255964554163
private_modules,1,broadcast,-0.00851534190603765
private_modules,1,persistence,-0.005785083245908318
private_modules,1,concentration,0.011998685679535326
private_modules,2,gain,0.01744174217468597
private_modules,2,broadcast,-0.009598017989079277
private_modules,2,persistence,-0.01975895294628094
private_modules,2,concentration,0.019490977476448568
private_modules,3,gain,0.008240404534330503
private_modules,3,broadcast,0.008106289139317602
private_modules,3,persistence,-0.026983659535032567
private_modules,3,concentration,0.0034515737760749676
private_modules,5,gain,0.009693229946168835
private_modules,5,broadcast,0.034505112049440484
private_modules,5,persistence,-0.04988486639073053
private_modules,5,concentration,-0.00842447547776215
private_modules,6,gain,0.00966231600902323
private_modules,6,broadcast,-0.012610942801892622
private_modules,6,persistence,-0.04014345050771695
private_modules,6,concentration,0.0017182442448460122
private_modules,7,gain,0.015234099196422157
private_modules,7,broadcast,0.011551325330917461
private_modules,7,persistence,-0.07314786225560277
private_modules,7,concentration,-0.009172350088587633
private_modules,8,gain,0.009857214699909966
private_modules,8,broadcast,0.000471172218962701
private_modules,8,persistence,-0.03717629635201103
private_modules,8,concentration,0.005687661282428924
private_modules,9,gain,0.008740922765340664
private_modules,9,broadcast,0.0039031897646906732
private_modules,9,persistence,0.008080587744892065
private_modules,9,concentration,0.0024261726673041606
private_modules,10,gain,0.01058440574955788
private_modules,10,broadcast,-0.002375936432108483
private_modules,10,persistence,-0.03457773192327507
private_modules,10,concentration,0.0019940905810648113
private_modules,11,gain,0.009407904017322721
private_modules,11,broadcast,0.010511238884838514
private_modules,11,persistence,-0.10060529879298552
private_modules,11,concentration,0.0009448859180626323
private_modules,12,gain,0.011242243470901636
private_modules,12,broadcast,-0.003104591299171844
private_modules,12,persistence,-0.09225179544344786
private_modules,12,concentration,-9.407536824057594e-05
private_modules,14,gain,0.007728565406421528
private_modules,14,broadcast,0.024097400389254675
private_modules,14,persistence,0.18766010324424576
private_modules,14,concentration,-0.00388343119854484
private_modules,15,gain,0.019874284671713593
private_modules,15,broadcast,-0.025199902740348085
private_modules,15,persistence,-0.06192451440943336
private_modules,15,concentration,0.028020662946157238
private_modules,16,gain,0.01572832999104601
private_modules,16,broadcast,-0.017528278332902603
private_modules,16,persistence,-0.09454998284994098
private_modules,16,concentration,-0.0011910558728441822
private_modules,17,gain,0.011019701881500477
private_modules,17,broadcast,0.024166113487126953
private_modules,17,persistence,-0.06066698565723172
private_modules,17,concentration,-0.003115372449241649
private_modules,18,gain,0.017335440837057847
private_modules,18,broadcast,0.004503542969141752
private_modules,18,persistence,-0.11498797870455335
private_modules,18,concentration,0.018283173965146005
recurrent,0,gain,0.015563155517567151
recurrent,0,broadcast,-0.008074366790582752
recurrent,0,persistence,-0.13472713789010426
recurrent,0,concentration,0.014805285197837192
recurrent,1,gain,0.004958380678823038
recurrent,1,broadcast,-0.00626897852359784
recurrent,1,persistence,0.08389652454231591
recurrent,1,concentration,-0.005956097846734787
recurrent,2,gain,0.0015113737338394717
recurrent,2,broadcast,0.0005082643265686172
recurrent,2,persistence,0.014115585954710075
recurrent,2,concentration,-0.00028064874438160636
recurrent,3,gain,0.0011515879153117803
recurrent,3,broadcast,-0.005591933471612243
recurrent,3,persistence,-0.15260231449527795
recurrent,3,concentration,0.0016957163331249303
recurrent,4,gain,0.002954027001605075
recurrent,4,broadcast,0.0061586767821340815
recurrent,4,persistence,-0.12050652280724417
recurrent,4,concentration,0.0013751944216335854
recurrent,5,gain,0.004662284603239031
recurrent,5,broadcast,-0.023514146975141648
recurrent,5,persistence,-0.3169015518331091
recurrent,5,concentration,-0.0033804715482141923
recurrent,6,gain,0.004906092527317107
recurrent,6,broadcast,-0.0036676008974242495
recurrent,6,persistence,0.05676219466567223
recurrent,6,concentration,0.0013608609625984092
