architecture,seed,rms_distance,cosine_similarity,magnitude_ratio
feedforward,0,0.4401410144492958,0.6711816857858831,0.3151119796184269
feedforward,1,0.38957518798309393,0.9113629323774363,0.2673827048932598
feedforward,3,0.4078913734084479,0.8386675548108754,0.21079721022251963
feedforward,4,0.4480073214556476,0.6092491376558024,0.35860002673529107
feedforward,6,0.4146299282156334,0.9256800331570813,0.24420465183429946
feedforward,7,0.4262472697887151,0.8388139035925223,0.40989224240018257
feedforward,8,0.4067968865904585,0.9548575966808356,0.2315420839917008
feedforward,10,0.41859076628858666,0.9316373755975037,0.4255773879949736
feedforward,12,0.4118549780515655,0.8848311502431464,0.26533459248400026
feedforward,13,0.4199874674548668,0.7737147139234148,0.3577895654936466
feedforward,14,0.4944374394028861,0.5008964896725246,0.5235085930647881
feedforward,15,0.4249669352581177,0.8857099006611009,0.3885496285699118
feedforward,17,0.5646607276298508,0.44132887776991225,0.6920422969747749
feedforward,18,0.4052929191440291,0.4002884271100398,0.40189295295731653
feedforward,19,0.40285976483305663,0.9060536789002482,0.168018955924041
private_modules,0,0.45146766890433854,0.8104612015769749,0.3851212115755994
private_modules,1,0.4065971294834741,-0.18311561756886457,0.1353250980503462
private_modules,2,0.42046242449421534,-0.03995679147386816,0.20271639332981922
private_modules,3,0.4309829709248255,0.4885233586494122,0.17542300347524353
private_modules,5,0.4504393223834032,0.6976350919781747,0.36796965154858263
private_modules,6,0.4485245954047976,-0.07024350431248808,0.2564322214428094
private_modules,7,0.47744867166545524,0.34314399012606644,0.45200360162812075
private_modules,8,0.44173146173795497,0.2452372990562304,0.23076370553202563
private_modules,9,0.40947705967523235,0.24919382967522555,0.07573095370621408
private_modules,10,0.43567089908830575,0.16122859935067324,0.2154050839335122
private_modules,11,0.5493477339848952,0.30977752987550233,0.6029564284231262
private_modules,12,0.5303388067806235,0.17883546490821634,0.5518700593535877
private_modules,14,0.6921481678847857,-0.07685627779209545,1.1240744846057977
private_modules,15,0.4847104537918965,-0.08830980702422599,0.4461038282374612
private_modules,16,0.5317617153285432,0.03468979503988869,0.5783394518737704
private_modules,17,0.46572842912576456,0.5462201662042144,0.3934854573456634
private_modules,18,0.5781846190124229,0.2667079956152574,0.699151140727597
recurrent,0,0.6294855820041737,0.16583538929117256,0.8111173431347999
recurrent,1,0.4742462768088589,-0.27695617276806744,0.5014254039661379
recurrent,2,0.42633693494197733,-0.16026305055064743,0.08432484064818742
recurrent,3,0.6899342740495932,0.16912679857827637,0.9063794823642702
recurrent,4,0.6065189413937225,0.2551955019353128,0.7163969224945045
recurrent,5,1.1528748869245016,0.13040945694910328,1.8862809195667773
recurrent,6,0.4421926409865366,-0.2533547976510448,0.3389339931301888
recurrent,9,0.4687898337308322,0.15438678296680905,0.32124798615753275
recurrent,10,0.6693692332783852,-0.1820726308081008,1.0255174172245938
recurrent,13,0.8117093805605584,-0.28317344775989234,1.3773853440896753
