architecture,seed,top_subspace_accuracy_drop,random_drop_mean,random_drop_95_percentile,top_subspace_percentile,passes_intervention_criterion,test_presence_by_bin
feedforward,0,0.2954232601312022,0.10527733730812805,0.10993947633348715,1.0,True,test-presence-by-bin.parquet
feedforward,1,0.26527071875124314,0.057340837555190635,0.05981839689583824,1.0,True,test-presence-by-bin.parquet
feedforward,10,0.2038661774735862,0.07189715719832399,0.0754340620372242,1.0,True,test-presence-by-bin.parquet
feedforward,11,0.2733326202002577,0.08055758769519794,0.0837008320485441,1.0,True,test-presence-by-bin.parquet
feedforward,12,0.3255071215355358,0.07984467068228858,0.08309786688215055,1.0,True,test-presence-by-bin.parquet
feedforward,13,0.23456679784451812,0.07514914755242319,0.07829396857049899,1.0,True,test-presence-by-bin.parquet
feedforward,14,0.2107310245593135,0.042378021979484315,0.0448586385947066,1.0,True,test-presence-by-bin.parquet
feedforward,15,0.28559004136929494,0.060441766689760625,0.06357352105192483,1.0,True,test-presence-by-bin.parquet
feedforward,16,0.25782878006609106,0.07896519007393348,0.08275584066256927,1.0,True,test-presence-by-bin.parquet
feedforward,17,0.31448028415155865,0.09564843786029391,0.09954381988833126,1.0,True,test-presence-by-bin.parquet
feedforward,18,0.22748805158816207,0.06282136672982774,0.06596775785231362,1.0,True,test-presence-by-bin.parquet
feedforward,19,0.23876916619535452,0.09424231862298214,0.09810823457309613,1.0,True,test-presence-by-bin.parquet
feedforward,2,0.2958696680708815,0.06778181801588773,0.07093720610339802,1.0,True,test-presence-by-bin.parquet
feedforward,3,0.34626123461479574,0.09744098617817265,0.10128504375870617,1.0,True,test-presence-by-bin.parquet
feedforward,4,0.3544888507824736,0.10087617731322876,0.1050896074063481,1.0,True,test-presence-by-bin.parquet
feedforward,5,0.2950645723281958,0.039234275739794724,0.041112598357870934,1.0,True,test-presence-by-bin.parquet
feedforward,6,0.17478514498415085,0.06641294182108613,0.06972660448985359,1.0,True,test-presence-by-bin.parquet
feedforward,7,0.20117093522708637,0.08634870226771689,0.09053565187576099,1.0,True,test-presence-by-bin.parquet
feedforward,8,0.33632209944648866,0.11062451222262823,0.11422606635207948,1.0,True,test-presence-by-bin.parquet
feedforward,9,0.26034534720186225,0.07917909923643351,0.0831249056723171,1.0,True,test-presence-by-bin.parquet
private_modules,0,0.15692493329032922,0.04941904450376954,0.05210251515856185,1.0,True,test-presence-by-bin.parquet
private_modules,1,0.10575449447662305,0.045145290299726366,0.04721969028060048,1.0,True,test-presence-by-bin.parquet
private_modules,10,0.10095045684625546,0.04131474533020118,0.043133889152980845,1.0,True,test-presence-by-bin.parquet
private_modules,11,0.19145210749044206,0.05653824967698167,0.05925338582489818,1.0,True,test-presence-by-bin.parquet
private_modules,12,0.1311608204445519,0.0305621697022892,0.03221566176262145,1.0,True,test-presence-by-bin.parquet
private_modules,13,0.12430079943074966,0.05672561538866914,0.059797265706732626,1.0,True,test-presence-by-bin.parquet
private_modules,14,0.1424743940655035,0.04075895798092072,0.04309858392221859,1.0,True,test-presence-by-bin.parquet
private_modules,15,0.1606237178031629,0.05616536297737218,0.05909695807165993,1.0,True,test-presence-by-bin.parquet
private_modules,16,0.18864644849643158,0.0413920174562893,0.043768148262279864,1.0,True,test-presence-by-bin.parquet
private_modules,17,0.14950576948281674,0.05678764110746475,0.05949067992333787,1.0,True,test-presence-by-bin.parquet
private_modules,18,0.1566654236171954,0.059316428105671185,0.0619185215844133,1.0,True,test-presence-by-bin.parquet
private_modules,19,0.1956785875387466,0.04578542012185715,0.04833836604040651,1.0,True,test-presence-by-bin.parquet
private_modules,2,0.1910694953732597,0.03144922870226181,0.03300642604454638,1.0,True,test-presence-by-bin.parquet
private_modules,3,0.19039610399605747,0.05478164366830272,0.05762005765407611,1.0,True,test-presence-by-bin.parquet
private_modules,4,0.2310069776571597,0.06032059524005975,0.063337199070964,1.0,True,test-presence-by-bin.parquet
private_modules,5,0.1738952670615321,0.043569593808521476,0.04612271622918284,1.0,True,test-presence-by-bin.parquet
private_modules,6,0.09735033363579942,0.04927979348376156,0.05194799869586104,1.0,True,test-presence-by-bin.parquet
private_modules,7,0.12159054024150959,0.024882869610009482,0.02634655795158289,1.0,True,test-presence-by-bin.parquet
private_modules,8,0.2416264151993651,0.0633194177981002,0.06669215738963777,1.0,True,test-presence-by-bin.parquet
private_modules,9,0.13085016598716712,0.05587254151559105,0.05841353827010329,1.0,True,test-presence-by-bin.parquet
recurrent,0,0.037616978438136675,0.019075490163918882,0.020092161080707754,1.0,True,test-presence-by-bin.parquet
recurrent,1,0.046154337569166676,0.018997890930206252,0.020155347317171553,1.0,True,test-presence-by-bin.parquet
recurrent,10,0.028607734476034635,0.02177965804982109,0.023041126122489906,1.0,True,test-presence-by-bin.parquet
recurrent,11,0.047233632959116,0.021320414032798992,0.022554442743523813,1.0,True,test-presence-by-bin.parquet
recurrent,12,0.0459062196195316,0.020628520252224735,0.021987720686025895,1.0,True,test-presence-by-bin.parquet
recurrent,13,0.027580033095119097,0.018900929731301988,0.02027506335093952,1.0,True,test-presence-by-bin.parquet
recurrent,14,0.025732470587038765,0.01757382325280589,0.018775852990988346,1.0,True,test-presence-by-bin.parquet
recurrent,15,0.05938376576755755,0.02010633514712032,0.02141834344155491,1.0,True,test-presence-by-bin.parquet
recurrent,16,0.04290376322718855,0.01952303696173829,0.020875682455663104,1.0,True,test-presence-by-bin.parquet
recurrent,17,0.02601745086736953,0.018192345022012633,0.019351127762764025,1.0,True,test-presence-by-bin.parquet
recurrent,18,0.05236263587451971,0.021381671584833162,0.0224352303690042,1.0,True,test-presence-by-bin.parquet
recurrent,19,0.025687679315146546,0.018563517463473848,0.019697985643395984,1.0,True,test-presence-by-bin.parquet
recurrent,2,0.06913705946157535,0.022223502231862976,0.02320838162122062,1.0,True,test-presence-by-bin.parquet
recurrent,3,0.031700047631614124,0.021176803812813075,0.022329548629708946,1.0,True,test-presence-by-bin.parquet
recurrent,4,0.04042537505634296,0.021073544931868776,0.022361878674632064,1.0,True,test-presence-by-bin.parquet
recurrent,5,0.05391460599990699,0.0211122356340908,0.0223571299649656,1.0,True,test-presence-by-bin.parquet
recurrent,6,0.0510867159968367,0.023396707026722335,0.024691966794931085,1.0,True,test-presence-by-bin.parquet
recurrent,7,0.05642459739130526,0.019718886253932793,0.02108680375467855,1.0,True,test-presence-by-bin.parquet
recurrent,8,0.0498041725768068,0.01948435504215594,0.02056454239181055,1.0,True,test-presence-by-bin.parquet
recurrent,9,0.035913222133161164,0.019753592745564617,0.020834714450394382,1.0,True,test-presence-by-bin.parquet
shared_workspace,0,0.1980636076043589,0.0520629978617921,0.054709597669851284,1.0,True,test-presence-by-bin.parquet
shared_workspace,1,0.251392376308624,0.06616275234725148,0.06874424197231999,1.0,True,test-presence-by-bin.parquet
shared_workspace,10,0.18219798841415502,0.04406163819110431,0.0465534829198362,1.0,True,test-presence-by-bin.parquet
shared_workspace,11,0.24150707641729532,0.06877940291033004,0.0714010529339123,1.0,True,test-presence-by-bin.parquet
shared_workspace,12,0.19719163049905064,0.04841389374991956,0.05025875835944288,1.0,True,test-presence-by-bin.parquet
shared_workspace,13,0.2562562352933061,0.061296564254897865,0.06383198673923175,1.0,True,test-presence-by-bin.parquet
shared_workspace,14,0.23578579300127853,0.04258873442681834,0.045185266297084456,1.0,True,test-presence-by-bin.parquet
shared_workspace,15,0.1683980953959992,0.03984827613487792,0.04200490822616857,1.0,True,test-presence-by-bin.parquet
shared_workspace,16,0.29987142185052745,0.052639233789885775,0.05476395969573682,1.0,True,test-presence-by-bin.parquet
shared_workspace,17,0.17186939392607814,0.062184537470150306,0.06483495302093677,1.0,True,test-presence-by-bin.parquet
shared_workspace,18,0.19550092056536447,0.06578741456944341,0.06866083481250859,1.0,True,test-presence-by-bin.parquet
shared_workspace,19,0.18544721127318117,0.06371800934925628,0.06678021969124913,1.0,True,test-presence-by-bin.parquet
shared_workspace,2,0.191859173508117,0.0546032420019753,0.05706381212217739,1.0,True,test-presence-by-bin.parquet
shared_workspace,3,0.23384231424179322,0.057410223754450145,0.06043629793884655,1.0,True,test-presence-by-bin.parquet
shared_workspace,4,0.21478741846907254,0.057229501412699404,0.05962896810743375,1.0,True,test-presence-by-bin.parquet
shared_workspace,5,0.19749951800599266,0.04213856985774665,0.04441166398243401,1.0,True,test-presence-by-bin.parquet
