architecture,successful_seeds,completed_seeds,mean_top_drop,mean_random_drop
feedforward,20,20,0.2698580948261026,0.07762311763713917
private_modules,20,20,0.15909616260673293,0.04816933132389102
recurrent,20,20,0.04267962490217374,0.020199163013563372
shared_workspace,20,20,0.21260232083713665,0.05649372951434063
unlimited_shared_state,20,20,0.1619770540596959,0.0024319508177594257
